"Table 1.2 Occupational projections, 2023–33, and worker characteristics, 2023 (Numbers in thousands)",,,,,,,,,,,,,,,
2023 National Employment Matrix title,2023 National Employment Matrix code,Occupation type,"Employment, 2023","Employment, 2033","Employment distribution, percent, 2023","Employment distribution, percent, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Percent self employed, 2023","Occupational openings, 2023–33 annual average","Median annual wage, dollars, 2023[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content
      Bus and truck mechanics and diesel engine specialists,49-3031,Line item,300.2,308.7,0.2,0.2,8.5,2.8,2.9,25.6,"58,970",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
      Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,Summary,259.3,281.8,0.2,0.2,22.6,8.7,5.5,24.1,"61,000",—,—,—,—
        Farm equipment mechanics and service technicians,49-3041,Line item,48.0,53.5,0.0,0.0,5.5,11.4,5.1,4.6,"49,210",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
"        Mobile heavy equipment mechanics, except engines",49-3042,Line item,191.1,207.3,0.1,0.1,16.2,8.5,5.7,17.7,"61,900",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
        Rail car repairers,49-3043,Line item,20.2,21.1,0.0,0.0,0.9,4.4,5.3,1.8,"65,030",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
      Small engine mechanics,49-3050,Summary,82.1,85.4,0.0,0.0,3.3,4.0,9.2,8.8,"46,500",—,—,—,—
        Motorboat mechanics and service technicians,49-3051,Line item,26.1,27.8,0.0,0.0,1.8,6.7,9.3,2.9,"49,990",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
        Motorcycle mechanics,49-3052,Line item,16.0,16.4,0.0,0.0,0.4,2.5,9.4,1.7,"46,270",Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content
        Outdoor power equipment and other small engine mechanics,49-3053,Line item,40.0,41.2,0.0,0.0,1.2,2.9,9.0,4.2,"44,140",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,Summary,140.5,148.8,0.1,0.1,8.4,5.9,3.0,19.0,"36,550",—,—,—,—
        Bicycle repairers,49-3091,Line item,14.5,15.3,0.0,0.0,0.8,5.6,3.1,2.0,"38,320",High school diploma or equivalent,None,Moderate-term on-the-job training,—
        Recreational vehicle service technicians,49-3092,Line item,18.4,20.2,0.0,0.0,1.8,9.9,3.0,2.6,"47,950",High school diploma or equivalent,None,Long-term on-the-job training,—
        Tire repairers and changers,49-3093,Line item,107.6,113.3,0.1,0.1,5.7,5.3,3.0,14.5,"35,790",High school diploma or equivalent,None,Short-term on-the-job training,—
"    Other installation, maintenance, and repair occupations",49-9000,Summary,"3,431.8","3,675.0",2.0,2.1,243.2,7.1,3.3,334.9,"50,200",—,—,—,—
      Control and valve installers and repairers,49-9010,Summary,76.6,80.5,0.0,0.0,3.9,5.1,—,6.7,"59,040",—,—,—,—
        Mechanical door repairers,49-9011,Line item,27.7,30.9,0.0,0.0,3.2,11.4,—,2.7,"48,650",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Control and valve installers and repairers, except mechanical door",49-9012,Line item,48.8,49.6,0.0,0.0,0.8,1.6,—,4.0,"70,100",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"      Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Line item,441.2,481.3,0.3,0.3,40.1,9.1,7.7,42.5,"57,300",Postsecondary nondegree award,None,Long-term on-the-job training,OOH Content
      Home appliance repairers,49-9031,Line item,37.5,37.8,0.0,0.0,0.3,0.8,19.3,3.1,"47,170",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"      Industrial machinery installation, repair, and maintenance workers",49-9040,Summary,531.4,611.7,0.3,0.4,80.3,15.1,2.2,53.0,"61,160",—,—,—,—
        Industrial machinery mechanics,49-9041,Line item,429.5,503.3,0.3,0.3,73.8,17.2,1.6,43.5,"61,420",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
"        Maintenance workers, machinery",49-9043,Line item,59.0,63.6,0.0,0.0,4.6,7.8,1.3,5.8,"57,350",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
        Millwrights,49-9044,Line item,42.3,44.3,0.0,0.0,2.0,4.8,9.3,3.7,"62,980",High school diploma or equivalent,None,Apprenticeship,OOH Content
"        Refractory materials repairers, except brickmasons",49-9045,Line item,0.6,0.5,0.0,0.0,-0.1,-17.8,—,0.0,"48,410",High school diploma or equivalent,None,Moderate-term on-the-job training,—
      Line installers and repairers,49-9050,Summary,225.6,232.2,0.1,0.1,6.7,3.0,1.6,19.6,"78,810",—,—,—,—
        Electrical power-line installers and repairers,49-9051,Line item,123.4,132.8,0.1,0.1,9.4,7.6,0.7,10.7,"85,420",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
        Telecommunications line installers and repairers,49-9052,Line item,102.2,99.4,0.1,0.1,-2.8,-2.7,2.8,8.8,"64,640",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
      Precision instrument and equipment repairers,49-9060,Summary,88.7,101.1,0.1,0.1,12.3,13.9,2.5,9.1,"59,380",—,—,—,—
        Camera and photographic equipment repairers,49-9061,Line item,2.6,2.2,0.0,0.0,-0.4,-16.9,2.4,0.2,"46,850",High school diploma or equivalent,None,Long-term on-the-job training,—
        Medical equipment repairers,49-9062,Line item,67.0,79.3,0.0,0.0,12.3,18.4,2.6,7.3,"60,670",Associate's degree,None,Moderate-term on-the-job training,OOH Content
        Musical instrument repairers and tuners,49-9063,Line item,6.3,6.4,0.0,0.0,0.1,1.5,2.7,0.5,"42,800",High school diploma or equivalent,None,Apprenticeship,—
        Watch and clock repairers,49-9064,Line item,1.9,1.9,0.0,0.0,0.0,0.0,2.7,0.2,"58,140",High school diploma or equivalent,None,Long-term on-the-job training,—
"        Precision instrument and equipment repairers, all other",49-9069,Line item,10.9,11.2,0.0,0.0,0.4,3.5,2.1,1.0,"62,040",High school diploma or equivalent,None,Long-term on-the-job training,—
"      Maintenance and repair workers, general",49-9071,Line item,"1,616.5","1,698.3",1.0,1.0,81.8,5.1,1.4,157.2,"46,700",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Wind turbine service technicians,49-9081,Line item,11.4,18.2,0.0,0.0,6.8,60.1,12.0,2.1,"61,770",Postsecondary nondegree award,None,Long-term on-the-job training,OOH Content
"      Miscellaneous installation, maintenance, and repair workers",49-9090,Summary,403.0,414.0,0.2,0.2,11.0,2.7,7.5,41.6,"44,470",—,—,—,—
"        Coin, vending, and amusement machine servicers and repairers",49-9091,Line item,39.3,39.2,0.0,0.0,-0.1,-0.4,6.7,4.0,"44,980",High school diploma or equivalent,None,Short-term on-the-job training,—
        Commercial divers,49-9092,Line item,3.2,3.5,0.0,0.0,0.3,8.3,11.8,0.4,"61,300",Postsecondary nondegree award,None,Moderate-term on-the-job training,—
        Locksmiths and safe repairers,49-9094,Line item,17.6,15.8,0.0,0.0,-1.7,-9.9,13.2,1.8,"48,380",High school diploma or equivalent,None,Long-term on-the-job training,—
        Manufactured building and mobile home installers,49-9095,Line item,3.3,2.7,0.0,0.0,-0.6,-19.6,12.3,0.2,"38,980",High school diploma or equivalent,None,Short-term on-the-job training,—
        Riggers,49-9096,Line item,24.2,25.4,0.0,0.0,1.2,4.9,—,2.7,"56,220",High school diploma or equivalent,None,Moderate-term on-the-job training,—
        Signal and track switch repairers,49-9097,Line item,9.3,9.5,0.0,0.0,0.2,2.3,9.6,0.9,"82,710",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Helpers--installation, maintenance, and repair workers",49-9098,Line item,104.6,109.2,0.1,0.1,4.6,4.4,1.0,11.2,"36,710",High school diploma or equivalent,None,Short-term on-the-job training,—
"        Installation, maintenance, and repair workers, all other",49-9099,Line item,201.5,208.7,0.1,0.1,7.2,3.6,11.1,20.4,"46,500",High school diploma or equivalent,None,Moderate-term on-the-job training,—
  Production occupations,51-0000,Summary,"9,093.6","8,999.5",5.4,5.2,-94.1,-1.0,2.9,970.1,"43,630",—,—,—,—
    Supervisors of production workers,51-1000,Summary,690.9,695.1,0.4,0.4,4.2,0.6,2.0,64.6,"65,930",—,—,—,—
      First-line supervisors of production and operating workers,51-1011,Line item,690.9,695.1,0.4,0.4,4.2,0.6,2.0,64.6,"65,930",High school diploma or equivalent,Less than 5 years,None,—
    Assemblers and fabricators,51-2000,Summary,"1,965.1","1,966.7",1.2,1.1,1.7,0.1,1.2,209.8,"39,720",—,—,—,—
"      Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,Line item,31.4,26.3,0.0,0.0,-5.2,-16.4,1.4,2.6,"61,240",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Electrical, electronics, and electromechanical assemblers",51-2020,Summary,283.2,301.6,0.2,0.2,18.4,6.5,0.1,32.6,"40,700",—,—,—,—
"        Coil winders, tapers, and finishers",51-2021,Line item,12.1,10.9,0.0,0.0,-1.1,-9.3,—,1.1,"44,890",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,Line item,271.1,290.6,0.2,0.2,19.5,7.2,0.1,31.5,"40,490",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Engine and other machine assemblers,51-2031,Line item,49.0,38.6,0.0,0.0,-10.4,-21.3,—,3.7,"50,270",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Structural metal fabricators and fitters,51-2041,Line item,59.3,50.3,0.0,0.0,-9.1,-15.3,1.4,4.9,"48,480",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Fiberglass laminators and fabricators,51-2051,Line item,20.9,21.8,0.0,0.0,1.0,4.6,1.5,2.4,"40,200",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Timing device assemblers and adjusters,51-2061,Line item,0.4,0.3,0.0,0.0,-0.1,-16.3,—,0.0,"48,840",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Miscellaneous assemblers and fabricators,51-2090,Line item,"1,520.8","1,527.9",0.9,0.9,7.0,0.5,1.5,163.7,"38,920",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
    Food processing workers,51-3000,Summary,884.9,921.4,0.5,0.5,36.5,4.1,3.4,123.3,"36,850",—,—,—,—
      Bakers,51-3011,Line item,243.4,256.1,0.1,0.1,12.7,5.2,8.5,40.4,"34,950",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
"      Butchers and other meat, poultry, and fish processing workers",51-3020,Summary,353.0,357.7,0.2,0.2,4.7,1.3,0.9,42.9,"37,200",—,—,—,—
        Butchers and meat cutters,51-3021,Line item,139.1,136.2,0.1,0.1,-2.9,-2.1,0.9,16.1,"37,650",No formal educational credential,None,Long-term on-the-job training,OOH Content
"        Meat, poultry, and fish cutters and trimmers",51-3022,Line item,141.1,147.7,0.1,0.1,6.6,4.7,0.9,17.9,"36,300",No formal educational credential,None,Short-term on-the-job training,—
        Slaughterers and meat packers,51-3023,Line item,72.8,73.8,0.0,0.0,1.0,1.4,0.9,8.8,"38,160",No formal educational credential,None,Short-term on-the-job training,—
      Miscellaneous food processing workers,51-3090,Summary,288.4,307.6,0.2,0.2,19.2,6.7,2.0,40.0,"38,130",—,—,—,—
"        Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,Line item,19.6,20.0,0.0,0.0,0.4,2.2,0.5,2.7,"39,850",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
        Food batchmakers,51-3092,Line item,171.3,186.8,0.1,0.1,15.5,9.1,0.9,26.3,"38,460",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
        Food cooking machine operators and tenders,51-3093,Line item,30.7,31.1,0.0,0.0,0.3,1.0,3.2,4.1,"38,550",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Food processing workers, all other",51-3099,Line item,66.8,69.7,0.0,0.0,2.9,4.4,4.9,6.9,"36,890",No formal educational credential,None,Moderate-term on-the-job training,OOH Content
    Metal workers and plastic workers,51-4000,Summary,"1,657.4","1,613.0",1.0,0.9,-44.5,-2.7,2.3,157.6,"46,860",—,—,—,—
"      Forming machine setters, operators, and tenders, metal and plastic",51-4020,Summary,98.4,96.3,0.1,0.1,-2.1,-2.2,0.6,9.7,"45,410",—,—,—,—
"        Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,Line item,64.1,65.3,0.0,0.0,1.3,2.0,0.6,6.7,"44,390",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Forging machine setters, operators, and tenders, metal and plastic",51-4022,Line item,9.3,7.9,0.0,0.0,-1.5,-15.7,0.6,0.7,"46,990",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Line item,25.0,23.1,0.0,0.0,-1.9,-7.7,0.6,2.3,"47,040",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Machine tool cutting setters, operators, and tenders, metal and plastic",51-4030,Summary,297.2,263.6,0.2,0.2,-33.6,-11.3,0.1,25.0,"43,300",—,—,—,—
"        Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,Line item,181.3,161.0,0.1,0.1,-20.3,-11.2,—,15.1,"42,400",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,Line item,5.8,4.7,0.0,0.0,-1.1,-19.2,—,0.4,"44,620",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,Line item,76.3,68.1,0.0,0.0,-8.2,-10.7,0.5,6.5,"42,610",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,Line item,19.7,17.5,0.0,0.0,-2.3,-11.4,—,1.7,"47,110",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,Line item,14.1,12.3,0.0,0.0,-1.8,-12.9,—,1.2,"47,200",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Machinists,51-4041,Line item,298.0,303.0,0.2,0.2,5.0,1.7,1.4,30.2,"50,840",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
"      Metal furnace operators, tenders, pourers, and casters",51-4050,Summary,27.0,25.6,0.0,0.0,-1.4,-5.2,2.1,2.4,"50,200",—,—,—,—
        Metal-refining furnace operators and tenders,51-4051,Line item,21.4,20.4,0.0,0.0,-1.0,-4.8,2.1,1.9,"50,250",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Pourers and casters, metal",51-4052,Line item,5.6,5.2,0.0,0.0,-0.4,-6.7,2.1,0.5,"48,690",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Model makers and patternmakers, metal and plastic",51-4060,Summary,5.0,4.0,0.0,0.0,-1.0,-19.5,—,0.4,"58,840",—,—,—,—
"        Model makers, metal and plastic",51-4061,Line item,2.9,2.4,0.0,0.0,-0.5,-17.6,—,0.2,"64,190",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Patternmakers, metal and plastic",51-4062,Line item,2.2,1.7,0.0,0.0,-0.5,-22.2,—,0.1,"49,670",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,Summary,170.6,163.8,0.1,0.1,-6.9,-4.0,—,15.9,"39,170",—,—,—,—
        Foundry mold and coremakers,51-4071,Line item,11.8,8.9,0.0,0.0,-2.9,-24.6,—,0.7,"44,300",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,Line item,158.8,154.9,0.1,0.1,-3.9,-2.5,—,15.1,"38,870",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,Line item,130.0,132.3,0.1,0.1,2.3,1.8,1.2,13.1,"41,600",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Tool and die makers,51-4111,Line item,59.1,53.3,0.0,0.0,-5.8,-9.7,0.5,5.1,"61,490",Postsecondary nondegree award,None,Long-term on-the-job training,OOH Content
"      Welding, soldering, and brazing workers",51-4120,Summary,490.2,496.3,0.3,0.3,6.1,1.2,6.1,48.8,"48,680",—,—,—,—
"        Welders, cutters, solderers, and brazers",51-4121,Line item,454.5,463.8,0.3,0.3,9.3,2.0,6.1,45.8,"48,940",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Line item,35.6,32.5,0.0,0.0,-3.2,-8.9,6.1,3.0,"45,350",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Miscellaneous metal workers and plastic workers,51-4190,Summary,81.9,74.7,0.0,0.0,-7.2,-8.8,1.2,7.0,"43,260",—,—,—,—
"        Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,Line item,15.2,13.8,0.0,0.0,-1.4,-9.5,1.2,1.3,"44,240",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Layout workers, metal and plastic",51-4192,Line item,6.9,6.7,0.0,0.0,-0.2,-3.5,1.0,0.6,"62,270",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Plating machine setters, operators, and tenders, metal and plastic",51-4193,Line item,32.4,28.8,0.0,0.0,-3.6,-11.1,1.2,2.6,"39,740",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Tool grinders, filers, and sharpeners",51-4194,Line item,6.8,6.3,0.0,0.0,-0.5,-7.8,1.2,0.6,"46,410",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Metal workers and plastic workers, all other",51-4199,Line item,20.7,19.2,0.0,0.0,-1.4,-6.9,1.2,1.8,"41,200",High school diploma or equivalent,None,Moderate-term on-the-job training,—
    Printing workers,51-5100,Summary,217.7,191.8,0.1,0.1,-25.9,-11.9,3.0,19.9,"40,870",—,—,—,—
      Prepress technicians and workers,51-5111,Line item,23.3,19.0,0.0,0.0,-4.3,-18.5,0.3,2.2,"45,070",Postsecondary nondegree award,None,None,—
      Printing press operators,51-5112,Line item,156.2,141.3,0.1,0.1,-14.9,-9.5,4.1,14.3,"41,860",High school diploma or equivalent,None,Moderate-term on-the-job training,—
      Print binding and finishing workers,51-5113,Line item,38.1,31.4,0.0,0.0,-6.7,-17.5,—,3.4,"38,100",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"    Textile, apparel, and furnishings workers",51-6000,Summary,520.6,497.8,0.3,0.3,-22.8,-4.4,7.9,61.9,"34,110",—,—,—,—
      Laundry and dry-cleaning workers,51-6011,Line item,195.4,206.2,0.1,0.1,10.8,5.5,3.0,28.9,"31,050",No formal educational credential,None,Short-term on-the-job training,—
"      Pressers, textile, garment, and related materials",51-6021,Line item,29.3,25.8,0.0,0.0,-3.5,-12.0,—,2.9,"32,240",No formal educational credential,None,Short-term on-the-job training,—
      Sewing machine operators,51-6031,Line item,128.7,111.8,0.1,0.1,-17.0,-13.2,10.2,11.9,"34,440",No formal educational credential,None,Short-term on-the-job training,—
      Shoe and leather workers,51-6040,Summary,15.5,13.5,0.0,0.0,-1.9,-12.6,21.7,1.4,"36,300",—,—,—,—
        Shoe and leather workers and repairers,51-6041,Line item,9.4,8.3,0.0,0.0,-1.1,-11.9,21.7,0.8,"36,020",High school diploma or equivalent,None,Moderate-term on-the-job training,—
        Shoe machine operators and tenders,51-6042,Line item,6.1,5.2,0.0,0.0,-0.8,-13.6,21.6,0.5,"36,970",High school diploma or equivalent,None,Short-term on-the-job training,—
"      Tailors, dressmakers, and sewers",51-6050,Summary,30.2,27.9,0.0,0.0,-2.3,-7.6,38.0,3.7,"35,680",—,—,—,—
"        Sewers, hand",51-6051,Line item,5.6,4.9,0.0,0.0,-0.7,-12.2,38.0,0.6,"32,240",No formal educational credential,None,Moderate-term on-the-job training,—
"        Tailors, dressmakers, and custom sewers",51-6052,Line item,24.6,23.0,0.0,0.0,-1.6,-6.5,38.0,3.0,"36,650",No formal educational credential,None,Moderate-term on-the-job training,—
"      Textile machine setters, operators, and tenders",51-6060,Summary,57.2,51.3,0.0,0.0,-5.9,-10.3,1.7,6.1,"36,150",—,—,—,—
        Textile bleaching and dyeing machine operators and tenders,51-6061,Line item,6.9,6.1,0.0,0.0,-0.7,-10.3,1.7,0.7,"35,340",High school diploma or equivalent,None,Short-term on-the-job training,—
"        Textile cutting machine setters, operators, and tenders",51-6062,Line item,9.9,8.7,0.0,0.0,-1.2,-11.7,1.7,1.0,"36,620",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Textile knitting and weaving machine setters, operators, and tenders",51-6063,Line item,16.4,14.4,0.0,0.0,-1.9,-11.8,1.7,1.7,"37,130",High school diploma or equivalent,None,Short-term on-the-job training,—
"        Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,Line item,24.1,22.0,0.0,0.0,-2.1,-8.8,1.7,2.6,"35,530",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"      Miscellaneous textile, apparel, and furnishings workers",51-6090,Summary,64.2,61.3,0.0,0.0,-2.9,-4.5,9.6,7.0,"40,560",—,—,—,—
"        Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,Line item,15.1,14.7,0.0,0.0,-0.5,-3.1,3.2,1.9,"44,030",High school diploma or equivalent,None,Moderate-term on-the-job training,—
        Fabric and apparel patternmakers,51-6092,Line item,2.7,2.4,0.0,0.0,-0.3,-11.7,3.2,0.3,"62,510",High school diploma or equivalent,None,Moderate-term on-the-job training,—
        Upholsterers,51-6093,Line item,30.7,30.1,0.0,0.0,-0.6,-2.0,16.7,3.0,"42,730",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Textile, apparel, and furnishings workers, all other",51-6099,Line item,15.6,14.1,0.0,0.0,-1.5,-9.5,3.1,1.8,"35,130",High school diploma or equivalent,None,Short-term on-the-job training,—
    Woodworkers,51-7000,Summary,240.8,233.9,0.1,0.1,-6.8,-2.8,11.4,23.5,"39,350",—,—,—,—
      Cabinetmakers and bench carpenters,51-7011,Line item,99.7,97.0,0.1,0.1,-2.7,-2.7,12.9,9.0,"43,260",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
      Furniture finishers,51-7021,Line item,18.2,17.9,0.0,0.0,-0.3,-1.6,22.2,1.8,"39,790",High school diploma or equivalent,None,Short-term on-the-job training,OOH Content
"      Model makers and patternmakers, wood",51-7030,Summary,1.6,1.4,0.0,0.0,-0.2,-13.0,47.7,0.1,"48,290",—,—,—,—
"        Model makers, wood",51-7031,Line item,1.1,1.0,0.0,0.0,-0.1,-12.8,47.8,0.1,"45,040",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Patternmakers, wood",51-7032,Line item,0.5,0.4,0.0,0.0,-0.1,-13.5,47.5,0.0,"48,630",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"      Woodworking machine setters, operators, and tenders",51-7040,Summary,106.1,104.6,0.1,0.1,-1.5,-1.5,2.4,11.2,"38,140",—,—,—,—
"        Sawing machine setters, operators, and tenders, wood",51-7041,Line item,45.6,45.3,0.0,0.0,-0.2,-0.5,5.3,4.9,"38,000",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"        Woodworking machine setters, operators, and tenders, except sawing",51-7042,Line item,60.6,59.3,0.0,0.0,-1.3,-2.2,0.3,6.2,"38,260",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content
"      Woodworkers, all other",51-7099,Line item,15.1,13.1,0.0,0.0,-2.0,-13.5,48.3,1.3,"37,760",High school diploma or equivalent,None,Moderate-term on-the-job training,—
    Plant and system operators,51-8000,Summary,291.4,279.6,0.2,0.2,-11.8,-4.1,—,25.3,"67,100",—,—,—,—
"      Power plant operators, distributors, and dispatchers",51-8010,Summary,47.4,43.6,0.0,0.0,-3.8,-8.0,—,3.8,"100,890",—,—,—,—
        Nuclear power reactor operators,51-8011,Line item,5.8,5.2,0.0,0.0,-0.6,-10.3,—,0.4,"120,350",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
        Power distributors and dispatchers,51-8012,Line item,9.2,9.1,0.0,0.0,-0.1,-1.4,—,0.8,"104,750",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
        Power plant operators,51-8013,Line item,32.4,29.3,0.0,0.0,-3.1,-9.4,—,2.5,"97,010",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
      Stationary engineers and boiler operators,51-8021,Line item,35.5,36.9,0.0,0.0,1.4,4.1,—,3.8,"67,640",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
      Water and wastewater treatment plant and system operators,51-8031,Line item,124.7,117.2,0.1,0.1,-7.5,-6.0,—,10.3,"54,890",High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
      Miscellaneous plant and system operators,51-8090,Summary,83.9,81.9,0.0,0.0,-2.0,-2.4,—,7.5,"80,710",—,—,—,—
        Chemical plant and system operators,51-8091,Line item,18.4,18.2,0.0,0.0,-0.1,-0.8,—,1.7,"80,030",High school diploma or equivalent,None,Moderate-term on-the-job training,—
        Gas plant operators,51-8092,Line item,16.1,14.6,0.0,0.0,-1.6,-9.8,—,1.3,"82,560",High school diploma or equivalent,None,Long-term on-the-job training,—
"        Petroleum pump system operators, refinery operators, and gaugers",51-8093,Line item,33.6,32.8,0.0,0.0,-0.8,-2.3,—,3.0,"94,580",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Plant and system operators, all other",51-8099,Line item,15.8,16.3,0.0,0.0,0.5,3.2,—,1.5,"56,940",High school diploma or equivalent,None,Moderate-term on-the-job training,—
    Other production occupations,51-9000,Summary,"2,624.8","2,600.1",1.6,1.5,-24.6,-0.9,3.1,284.3,"43,880",—,—,—,—
"      Chemical processing machine setters, operators, and tenders",51-9010,Summary,175.4,169.7,0.1,0.1,-5.7,-3.2,0.0,16.5,"50,300",—,—,—,—
        Chemical equipment operators and tenders,51-9011,Line item,121.9,115.4,0.1,0.1,-6.5,-5.4,0.0,11.1,"51,720",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Line item,53.4,54.3,0.0,0.0,0.9,1.7,—,5.4,"48,120",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"      Crushing, grinding, polishing, mixing, and blending workers",51-9020,Summary,146.8,149.0,0.1,0.1,2.2,1.5,1.4,14.8,"45,460",—,—,—,—
"        Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Line item,26.5,26.3,0.0,0.0,-0.3,-1.0,1.4,2.6,"44,510",High school diploma or equivalent,None,Moderate-term on-the-job training,—
"        Grinding and polishing workers, hand",51-9022,Line item,12.5,10.3,0.0,0.0,-2.2,-17.8,1.4,0.9,"38,940",No formal educational credential,None,Moderate-term on-the-job training,—
"        Mixing and blending machine setters, operators, and tenders",51-9023,Line item,107.8,112.4,0.1,0.1,4.7,4.3,1.4,11.3,"46,100",High school diploma or equivalent,None,Moderate-term on-the-job training,—
      Cutting workers,51-9030,Summary,59.4,56.7,0.0,0.0,-2.7,-4.5,0.3,5.8,"43,300",—,—,—,—
"        Cutters and trimmers, hand",51-9031,Line item,6.9,5.6,0.0,0.0,-1.3,-18.4,—,0.5,"37,040",No formal educational credential,None,Short-term on-the-job training,—
